id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,red_card,wins,yellow_card,own_goals
1009,8,6.0,0.0,2.0,,,2.0,,2.0,1.0,
1462,8,,,,,,,,,,
639,8,27.0,2.0,6.0,1.0,,10.0,,11.0,,
335,8,30.0,6.0,5.0,6.0,12.0,2.0,,23.0,2.0,
1660,8,5.0,0.0,2.0,,,1.0,,2.0,,
1781,8,17.0,1.0,2.0,,1.0,12.0,,3.0,,
1736,8,14.0,2.0,1.0,,,10.0,,3.0,5.0,
851,8,14.0,6.0,3.0,,,5.0,,6.0,,
974,8,,,,,,,,,,
1818,8,1.0,0.0,,,,1.0,,,,
151,8,4.0,0.0,1.0,,,1.0,,2.0,1.0,
1144,8,,,,,,,,,,
1536,8,6.0,0.0,1.0,,,2.0,,3.0,,
1083,8,36.0,4.0,7.0,3.0,7.0,14.0,,15.0,3.0,
1201,8,30.0,8.0,4.0,2.0,7.0,11.0,,15.0,2.0,1.0
1437,8,3.0,0.0,1.0,1.0,,,,2.0,,
1738,8,,,,,,,,,,
938,8,13.0,1.0,3.0,,,3.0,,7.0,4.0,
1595,8,28.0,10.0,8.0,1.0,2.0,6.0,,14.0,6.0,
1605,8,29.0,9.0,9.0,1.0,1.0,10.0,,10.0,3.0,
1147,8,17.0,4.0,5.0,2.0,,4.0,,8.0,1.0,
1223,8,,,,,,,,,,
1671,8,1.0,0.0,,,,1.0,,,,
1826,8,7.0,0.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,
18745,8,,,,,,,,,,
1493,8,,,,,,,,,,
1429,8,4.0,0.0,,,,1.0,,3.0,,
1612,8,23.0,3.0,3.0,,,13.0,,7.0,,
1133,8,1.0,0.0,,,,1.0,,,,
423,8,38.0,7.0,9.0,,5.0,20.0,,9.0,8.0,
1297,8,28.0,7.0,6.0,2.0,1.0,6.0,1.0,16.0,8.0,
1685,8,10.0,2.0,1.0,,,5.0,,4.0,1.0,
1724,8,,,,,,,,,,
628,8,1.0,0.0,,,,,,1.0,,
1358,8,35.0,9.0,8.0,,,16.0,,11.0,,
1349,8,2.0,0.0,1.0,,,1.0,,,,
1705,8,,,,,,,,,,
1688,8,33.0,6.0,7.0,6.0,7.0,15.0,,11.0,5.0,
1733,8,8.0,3.0,2.0,1.0,,1.0,,5.0,2.0,
1550,8,5.0,0.0,1.0,,,4.0,,,1.0,
1231,8,,,,,,,,,,
75,8,9.0,2.0,,,,6.0,,3.0,,1.0
21734,8,,,,,,,,,,
1045,8,33.0,10.0,4.0,6.0,5.0,11.0,1.0,18.0,7.0,
1659,8,31.0,1.0,7.0,17.0,8.0,7.0,,17.0,6.0,
1774,8,3.0,0.0,,,,1.0,,2.0,,
1426,8,3.0,0.0,,,,,,3.0,,
1544,8,,,,,,,,,,
844,8,16.0,1.0,8.0,9.0,4.0,4.0,2.0,4.0,3.0,
1573,8,22.0,1.0,5.0,1.0,,6.0,,11.0,,
1056,8,3.0,0.0,1.0,,,1.0,,1.0,,
785,8,17.0,4.0,5.0,,,6.0,,6.0,1.0,
1791,8,16.0,1.0,4.0,6.0,2.0,10.0,,2.0,6.0,
908,8,35.0,8.0,8.0,10.0,4.0,13.0,,14.0,5.0,
1405,8,1.0,0.0,,,,1.0,,,,
1753,8,2.0,0.0,1.0,,,1.0,,,1.0,
1593,8,7.0,0.0,3.0,1.0,,1.0,,3.0,,
1768,8,36.0,8.0,9.0,30.0,4.0,11.0,,16.0,6.0,
495,8,19.0,3.0,3.0,,,13.0,,3.0,1.0,
1335,8,29.0,13.0,8.0,,,5.0,,16.0,8.0,
2102,8,,,,,,,,,,
1433,8,15.0,5.0,8.0,1.0,,2.0,,5.0,1.0,
1540,8,11.0,1.0,1.0,,,8.0,,2.0,2.0,
1177,8,31.0,10.0,9.0,2.0,1.0,13.0,,9.0,6.0,
1161,8,28.0,9.0,9.0,,,13.0,,6.0,2.0,
860,8,9.0,3.0,3.0,,,2.0,,4.0,1.0,
886,8,31.0,11.0,5.0,,,8.0,,18.0,2.0,1.0
732,8,20.0,3.0,4.0,,,11.0,,5.0,6.0,
1259,8,26.0,3.0,7.0,3.0,5.0,9.0,2.0,10.0,8.0,
1715,8,,,,,,,,,,
985,8,,,,,,,,,,
848,8,29.0,5.0,10.0,1.0,,9.0,,10.0,6.0,
1182,8,,,,,,,,,,
1769,8,,,,,,,,,,
1398,8,,,,,,,,,,
262,8,22.0,7.0,5.0,3.0,1.0,7.0,,10.0,4.0,
1322,8,17.0,2.0,5.0,1.0,,9.0,,3.0,6.0,
1138,8,,,,,,,,,,
1531,8,,,,,,,,,,
1355,8,33.0,8.0,10.0,10.0,5.0,7.0,,16.0,5.0,
1587,8,34.0,1.0,10.0,12.0,3.0,12.0,,12.0,7.0,
1821,8,,,,,,,,,,
1767,8,8.0,0.0,3.0,1.0,,3.0,,2.0,,
1695,8,1.0,0.0,,,,1.0,,,,
1425,8,1.0,0.0,,,,1.0,,,,
1748,8,35.0,10.0,7.0,2.0,,17.0,1.0,11.0,4.0,2.0
1134,8,9.0,0.0,2.0,,,5.0,,2.0,,
252,8,29.0,11.0,9.0,,,7.0,,13.0,,
18583,8,,,,,,,,,,
1068,8,,,,,,,,,,
