id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
1080,9,34.0,8.0,10.0,,,15.0,9.0,1.0,,
714,9,36.0,5.0,10.0,6.0,1.0,18.0,8.0,7.0,,
1729,9,3.0,0.0,1.0,,,,2.0,,,
1255,9,5.0,1.0,1.0,,,3.0,1.0,4.0,,
453,9,33.0,7.0,5.0,,1.0,18.0,10.0,2.0,,
767,9,14.0,2.0,4.0,2.0,1.0,7.0,3.0,1.0,,
1371,9,36.0,12.0,6.0,1.0,4.0,11.0,19.0,3.0,,
1413,9,35.0,7.0,10.0,23.0,9.0,10.0,15.0,6.0,,1.0
1710,9,35.0,14.0,7.0,3.0,1.0,9.0,19.0,,,
1930,9,,,,,,,,,,
1838,9,,,,,,,,,,
272,9,32.0,7.0,12.0,8.0,6.0,9.0,11.0,11.0,,1.0
842,9,18.0,3.0,4.0,,1.0,8.0,6.0,3.0,,
960,9,35.0,8.0,4.0,2.0,3.0,11.0,20.0,2.0,,
1500,9,,,,,,,,,,
1723,9,16.0,0.0,4.0,2.0,,4.0,8.0,,,1.0
252,9,38.0,9.0,15.0,,,10.0,13.0,,,
1034,9,17.0,3.0,4.0,3.0,4.0,10.0,3.0,,,
1548,9,2.0,0.0,2.0,,,,,,,
1667,9,21.0,4.0,7.0,2.0,,11.0,3.0,2.0,,
961,9,29.0,6.0,8.0,1.0,7.0,11.0,10.0,4.0,,
1851,9,38.0,7.0,10.0,5.0,3.0,14.0,14.0,,,
1277,9,14.0,3.0,2.0,2.0,1.0,7.0,5.0,2.0,,
1442,9,1.0,0.0,,,,,1.0,,,
1960,9,21.0,1.0,6.0,2.0,1.0,9.0,6.0,,,
1970,9,8.0,2.0,3.0,1.0,1.0,2.0,3.0,,,
1969,9,,,,,,,,,,
1494,9,17.0,7.0,2.0,3.0,1.0,4.0,11.0,3.0,,
670,9,27.0,7.0,5.0,7.0,1.0,10.0,12.0,4.0,,
193,9,2.0,0.0,1.0,,,,1.0,,,
1067,9,,,,,,,,,,
1284,9,13.0,3.0,4.0,6.0,2.0,5.0,4.0,1.0,,
1123,9,,,,,,,,,,
