id,year_id,appearances,clean_sheet,draws,goals,losses,wins,goal_assist,yellow_card,own_goals,red_card
1775,14,30.0,5.0,7.0,1.0,15.0,8.0,1.0,2.0,,
1868,14,4.0,0.0,,,2.0,2.0,,,,
2805,14,32.0,10.0,9.0,,9.0,14.0,2.0,4.0,,2.0
2990,14,31.0,7.0,9.0,1.0,8.0,14.0,1.0,9.0,,1.0
2727,14,,,,,,,,,,
1391,14,6.0,0.0,1.0,1.0,5.0,,,2.0,,
2983,14,,,,,,,,,,
1504,14,12.0,4.0,4.0,1.0,5.0,3.0,1.0,3.0,,
27,14,21.0,2.0,4.0,5.0,6.0,11.0,,5.0,,1.0
2285,14,11.0,1.0,2.0,,7.0,2.0,,3.0,,
1315,14,31.0,10.0,6.0,,12.0,13.0,1.0,4.0,,
2437,14,,,,,,,,,,
2893,14,3.0,0.0,,,2.0,1.0,,,,
2169,14,7.0,1.0,2.0,,4.0,1.0,,,,
2801,14,,,,,,,,,,
2125,14,31.0,5.0,3.0,,18.0,10.0,1.0,1.0,,1.0
2711,14,22.0,5.0,3.0,2.0,9.0,10.0,,6.0,,
2884,14,25.0,13.0,3.0,1.0,2.0,20.0,5.0,1.0,,
2423,14,35.0,10.0,12.0,4.0,13.0,10.0,2.0,,,
2289,14,20.0,2.0,5.0,3.0,6.0,9.0,1.0,4.0,,1.0
1526,14,36.0,4.0,11.0,9.0,9.0,16.0,5.0,3.0,,
2861,14,11.0,0.0,4.0,,6.0,1.0,,,,
2314,14,27.0,4.0,7.0,,12.0,8.0,,4.0,,1.0
2520,14,4.0,0.0,,,3.0,1.0,,,,
2878,14,27.0,5.0,5.0,1.0,10.0,12.0,1.0,7.0,,
2995,14,,,,,,,,,,
2122,14,12.0,5.0,2.0,1.0,5.0,5.0,4.0,,,
2851,14,,,,,,,,,,
2425,14,,,,,,,,,,
2543,14,,,,,,,,,,
2023,14,,,,,,,,,,
1337,14,15.0,0.0,3.0,2.0,7.0,5.0,1.0,,,
2906,14,,,,,,,,,,
2609,14,7.0,2.0,3.0,,1.0,3.0,,,,
2937,14,,,,,,,,,,
2662,14,29.0,5.0,2.0,12.0,2.0,25.0,11.0,8.0,,
2819,14,12.0,0.0,2.0,1.0,7.0,3.0,,,,
1740,14,11.0,0.0,,,5.0,6.0,2.0,,,
2746,14,,,,,,,,,,
